Biciproblema 1,BP1 estandarizado,Biciproblema 2,BP2 estandarizado ,Biciproblema 3,BP3 estandarizado ,"Venis en bici a la escuela?
Siempre - Nunca - A veces",Cómo venis?,Transporte 1,Transporte 2,Transporte 3,Transporte 4,"A qué distancia
vivís de la escuela?",Distancia en KM,"Tenés un smartphone/
telefono inteligente?"
Vivo a 1 cuadra,,Cuidar el medio ambiente,,,,Nunca,caminando,,,,,1 cuadra,0.1,No
Me gusta andar en bici,,Hago ejercicio,,,,Siempre,En bici,,,,,3 km,3,No
Es muy lenta la bici,,,,,,Siempre,En moto,,,,,3 km,3,No
Es práctico,,,,,,Siempre,En bici,,,,,2 km,2,No
Es práctico venir en bici,,,,,,Siempre,En bici,,,,,18 cuadras,1.8,No
Es pràctico venir en bici,,,,,,Siempre,en bici,,,,,8 cuadras,0.8,No se
Me gusta ,,,,,,Siempre,en bici,,,,,6 cuadras,0.6,Si
"Me resulta práctico, divertido y seguro",,,,,,Siempre,En bici,,,,,15 cuadras,1.5,No
Vengo en bici porque es una forma de hacer ejercicio,,,,,,Siempre,En bici,,,,,2 km,2,No
Vengo todos los dias en bici,,,,,,Siempre,En bici,,,,,3 km,3,Si
No tengo bici,,Las calles están en mal estado,,,,A veces,Caminando o en bici,,,,,10 cuadras,1,Si
Vivo lejos,,Las calles están feas,,,,Nunca,En combi,,,,,23 km,23,Si
Soy vago,,Es más cómodo venir en moto,,,,Nunca,en moto,,,,,7 cuadras,0.7,No
Porque vivo lejos,,Me cansaría mucho venir en bici,,,,Nunca,En ómnibus,,,,,21 km,21,No
no tengo bici ,,soy haragán,,,,Nunca,en moto,,,,,5 km,5,Si
No vengo en bici por miedo a que me la roben,,hasta no comprar un candado no vuelvo a venir en bici,,,,Nunca,caminando,,,,,12 cuadras,1.2,No
No me gusta andar en bici,,El tránsito es peligroso,,,,Nunca,Caminando,,,,,3 km,3,No
Vivo cerca,,Es más seguro venir caminando,,,,Nunca,Caminando,,,,,10 cuadras,1,Si
No tengo,,Me da miedo proque me pasan los autos y las motos rápido,,,,Nunca,A pie,,,,,2 cuadras,0.2,Si
El mal estado de las calles,,No respetan a las bicis,,,,Nunca,En moto,,,,,4 cuadras,0.4,Si
Tengo la bici rota,,No me gusta usarla,,,,Nunca,caminando o en moto,,,,,6 cuadras,0.6,No se
Vengo caminando porque me queda cerca,,No me gusta andar en bici,,,,Nunca,caminando,,,,,4 cuadras,0.4,Si
Vivo lejos,,No me gusta andar en bici,,,,A veces,En moto o bci,,,,,9 cuadras,0.9,No se
Vivo lejos,,No me gusta andar en bici,,,,Nunca,En moto,,,,,10 cuadras,1,Si
vivo lejos ,,no me gusta andar en bici,,,,Nunca,en ómnibus,,,,,30 km,30,No
vivo a las afueras de Carmelo,,No tengo ganas,,,,Nunca,en ómnibus o moto,,,,,5 km,5,No
No tengo bici ,,soy pobre,,,,Nunca,a pie,,,,,7 cuadras,0.7,Si
Distancia,, no tengo bici,,,-,Nunca,en ómnibus,,,,,22km,22,Si
Me queda lejos,,No tengo bici,,,,Nunca,En moto,,,,,14 cuadras,1.4,No
vivo en otra ciudad,,no tengo bici,,,,Nunca,en ómnibus,,,,,25 km,25,No se
Vivo lejos,,No tengo bici,,,,Nunca,En combi,,,,,16 km,16,No
Vivo lejos ,,No tengo bici,,,,,en ómnibus,,,,,20 km,20,No
Vivo lejos del liceo,,No tengo bici,,,,Nunca,En moto,,,,,"1,5 km",1.5,No
vivo muy lejos ,,no tengo bici,,,,Nunca,en moto,,,,,30 cuadras,3,Si
Vivo muy lejos ,,No tengo bici,,,,Nunca,En moto,,,,,5 km,5,No
Vivo a media cuadra por eso no vengo en bici,,No tengo bici,,,,Nunca,Caminando,,,,,1/2 cuadra,0.05,No se
Vengo caminando porque tengo la bici rota,,No tengo medio de transporte,,,,Nunca,Caminando,,,,,3 km,3,Si
No tengo bici,,Prefiero andar en moto,,,,Nunca,En moto,,,,,6 cuadras,0.6,No
No tengo bici,,Me gusta caminar,,,,Nunca,Caminando,,,,,1 km,1,Si
No tengo bici,,Me gusta caminar,,,,Nunca,Caminando,,,,,15 cuadras,1.5,No
No me gusta andar en bici,,Prefiero caminar,,,,Nunca,Caminando,,,,,10 cuadras,1,No
No me gusta la bici,,Prefiero caminar,,,,Nunca,caminando,,,,,8 cuadras,0.8,No
No tengo,,Prefiero caminar,,,,Nunca,Caminando,,,,,5 cuadras,0.5,No
Vivo cerca,,Prefiero caminar,,,,Nunca,Caminando,,,,,"7,5 cuadras",7.5,Si
vivo cerca,,prefiero venir a pie,,,-,A veces,caminando,,,,,7 cuadras,0.7,Si
No tengo bici ,,vengo a pie,,,,Nunca,a pie,,,,,2km ,2,Si
Vivo en e campo,,Viajo en combi,,,,Nunca,En combi,,,,,25 km,25,No
Es práctico,,Aveces no vengo porque hace frío,,,,A veces,En bici o auto,,,,,15 cuadras,1.5,Si
No vengo en bici porque vivo cerca,,Hace frío ,,,,A veces,Caminando o en bici,,,,,6 cuadras,0.6,No se
Vivo cerca,,Está rota,,,,Nunca,Caminando,,,,,3 cuadras,0.3,No
Llego tarde ,,Se desinfla,,,,A veces,En moto o en bici,,,,,2 km,2,No se
Vivo cerca,,Tengo la bici rota,,,,Nunca,Caminando,,,,,7 cuadras,0.7,No
Andar en bici es una forma de hacer ejercicio,,Vivo cerca,,,,Siempre,en bici,,,,,4 cuadras,0.4,No se
Es peligroso andar en moto,,no tengo bici porque siempre me la roban ya van 3,,,,Nunca,caminando,,,,,Más de 10 cuadras,1,Si
No vengo en bici porque vivo cerca,,Tengo miedo a que me la roben,,,,Nunca,Caminando,,,,,1 cuadra,0.1,No
no tengo una bici sana,,ahorro tiempo viniendo en moto,,,,Nunca,en moto,,,,,6 cuadras,0.6,No
Vivo lejos ,,Demoraría mucho,,,,Nunca,En ómnibus,,,,,20 km,20,No
Por la distancia,,En bici tardo más,,,,A veces,En moto,,,,,23 cuadras,2.3,No
No tengo bici,,En moto llego antes,,,,Nunca,En moto,,,,,2 km,2,Si
Comodidad,,Es más rápido venir en moto,,,,Nunca,En moto,,,,,11 cuadras,1.1,Si
No tengo bici,,Falta de tiempo,,,,Nunca,En moto,,,,,5 cuadras,0.5,No
Comodidad,,Hay transporte más rápido,,,,Nunca,Caminando,,,,,1y 1/2 cuadra,0.2,No
Vivo lejos,,Llegaría tarde,,,,Nunca,En moto,,,,,15 cuadras,1.5,No se
Me duermo,,Llego màs ràpido en otro transporte,,,,Nunca,en moto,,,,,11 cuadras,1.1,No
No estoy acostubrado a andar en bici,,Me levanto tarde,,,,Nunca,En moto,,,,,9 cuadras,0.9,Si
No tengo bici ,,No me da el tiempo,,,,A veces,en moto o bici,,,,,15 cuadras,1.5,Si
Vengo desde lejos,,No me da el tiempo,,,,Nunca,en moto,,,,,17 cuadras,1.7,No
Vivo lejos ,,No me levanto muy temprano,,,,Nunca,Moto o auto,,,,,8 km,8,No
Traigo muchas cosas,,No tengo tiempo,,,,A veces,En moto o bici,,,,,1 km,1,No
Hace frío,,No tengo tiempo,,,,Nunca,En ómnibus,,,,,4 km,4,No
no tengo bici ,,no tengo tiempo,,,-,Nunca,en moto,,,,,12 cuadras,1.2,No se
Vivo lejos,,No tengo tiempo,,,,Nunca,En  moto,,,,,"3,5 km",3.5,No
Vivo lejos,,No tengo tiempo,,,,Nunca,En moto,,,,,3 km,3,Si
Tendría que levantarme antes,,Puedo llegar tarde,,,,A veces,En moto o bici,,,,,7 cuadras,0.7,Si
Viajo desde N.Palmira,,Tendría que salir de madrugada,,,,Nunca,En ómnibus,,,,,20 km,20,Si
Vivo lejos ,,Tengo poco tiempo,,,,Nunca,en moto,,,,,10 cuadras,1,No se
No me dan ganas,,tengo que salir antes de casa,,,,Nunca,en moto,,,,,20 cuadras,2,Si
No vivo en Carmelo,,Distancia,,,,Nunca,en ómnibus,,,,,22 km,22,Si
Falta de ganas,,Grandes distancias,,,,Nunca,En moto,,,,,9 cuadras,0.9,Si
no soy de Carmelo,,me queda lejos,,,-,Nunca,en ómnibus,,,,,20 km,20,No
Porque se me rompió la moto,,Porque vivo lejos del liceo,,,,A veces,En bici o en auto,,,,,2 km,2,No
Distancia,,soy de N. Palmira,,,-,Nunca,en ómnibus,,,,,22km,22,No
Comodidad,,Vivo lejos,,,,Nunca,En micro,,,,,25 km,25,No
No tengo,,Vivo lejos,,,,Nunca,En  moto,,,,,3 km,3,Si
No tengo bici ,,Vivo lejos,,,,Nunca,en moto,,,,,3 km,4,No
Vengo caminando,,Vivo cerca,,,,Nunca,Caminando,,,,,5 cuadras,0.5,No
Vivo muy cerca,,Uso la bici para hacer ejercicio,,,,Nunca,Caminando,,,,,6 cuadras,0.6,Si
